iter anc pos neg
1 16596_0 16596_1 9789_0
2 60388_0 60388_1 46311_0
3 84829_0 84829_1 88649_0
4 57332_0 57332_1 34638_0
5 425_0 426_0 33401_0
6 18684_0 18684_1 48337_0
7 23469_0 23469_1 37782_0
8 45276_0 45276_1 17653_0
9 86621_0 86621_1 27070_0
10 21327_0 21327_1 48005_0
11 57420_0 57420_1 24053_0
12 77445_0 77445_1 47379_0
13 39979_0 39979_1 57243_0
14 2595_0 2595_1 21666_0
15 56186_0 56186_1 38175_0
16 29167_0 29167_1 66458_0
17 606_0 606_1 97911_0
18 17729_0 17729_1 100035_0
19 50332_0 50332_1 86543_0
20 64831_0 64831_1 55319_0
21 179_0 156_0 94112_0
22 17119_0 17119_1 67089_0
23 69827_0 69827_1 66593_0
24 72_0 65_0 42079_0
25 56916_0 56916_1 78168_0
26 66587_0 66587_1 1292_0
27 97944_0 97944_1 66941_0
28 47808_0 47808_1 18655_0
29 352_0 349_0 24463_0
30 78904_0 78904_1 63130_0
31 100157_0 100157_1 23670_0
32 94760_0 94760_1 56967_0
33 90033_0 90033_1 4505_0
34 10530_0 10530_1 83722_0
35 64_0 56_0 53168_0
36 50127_0 50127_1 41625_0
37 18874_0 18874_1 70151_0
38 97516_0 97516_1 47389_0
39 24197_0 24197_1 60062_0
40 43534_0 43534_1 9854_0
41 35560_0 35560_1 57242_0
42 22968_0 22968_1 27174_0
43 41970_0 41970_1 58212_0
44 426_1 421_0 20205_0
45 68731_0 68731_1 73180_0
46 407_0 408_0 94812_0
47 41741_0 41741_1 99502_0
48 166_0 163_0 40030_0
49 281_0 278_0 90815_0
50 84918_0 84918_1 87360_0
51 74576_0 74576_1 14824_0
52 84821_0 84821_1 7900_0
53 39_0 56_1 24559_0
54 288_0 276_0 4061_0
55 522_0 527_0 27144_0
56 12228_0 12228_1 39194_0
57 307_0 305_0 30461_0
58 21009_0 21009_1 46589_0
59 291_0 292_0 91616_0
60 415_0 405_0 90313_0
61 96713_0 96713_1 81323_0
62 34884_0 34884_1 56383_0
63 45836_0 45836_1 47368_0
64 279_0 281_1 67380_0
65 452_0 460_0 69797_0
66 522_1 526_0 34433_0
67 307_1 310_0 70163_0
68 82398_0 82398_1 69798_0
69 269_0 278_1 7371_0
70 39566_0 39566_1 94855_0
71 7803_0 7803_1 75472_0
72 254_0 263_0 75568_0
73 55756_0 55756_1 40087_0
74 83992_0 83992_1 11791_0
75 33044_0 33044_1 26636_0
76 45763_0 45763_1 21555_0
77 519_0 516_0 33244_0
78 44668_0 44668_1 74852_0
79 36547_0 36547_1 36248_0
80 89972_0 89972_1 38330_0
81 71409_0 71409_1 91033_0
82 95229_0 95229_1 76225_0
83 99122_0 99122_1 73327_0
84 37424_0 37424_1 40108_0
85 82449_0 82449_1 70236_0
86 54615_0 54615_1 65748_0
87 21391_0 21391_1 52721_0
88 169_0 163_1 63210_0
89 16377_0 16377_1 79011_0
90 75817_0 75817_1 30634_0
91 85811_0 85811_1 36017_0
92 405_1 407_1 28291_0
93 46599_0 46599_1 10450_0
94 411_0 405_2 21344_0
95 60906_0 60906_1 19964_0
96 60271_0 60271_1 94122_0
97 422_0 428_0 61505_0
98 286_0 273_0 21488_0
99 76444_0 76444_1 22020_0
100 416_0 426_2 93210_0
101 356_0 352_1 2511_0
102 27541_0 27541_1 77366_0
103 54949_0 54949_1 17816_0
104 121_0 128_0 96362_0
105 99803_0 99803_1 93420_0
106 46366_0 46366_1 6971_0
107 7042_0 7042_1 61817_0
108 39088_0 39088_1 84012_0
109 51_0 37_0 74974_0
110 54173_0 54173_1 99941_0
111 22684_0 22684_1 73687_0
112 41735_0 41735_1 38229_0
113 77390_0 77390_1 37489_0
114 17935_0 17935_1 25573_0
115 89292_0 89292_1 24155_0
116 40240_0 40240_1 93955_0
117 82650_0 82650_1 16385_0
118 45486_0 45486_1 67768_0
119 22409_0 22409_1 88826_0
120 54814_0 54814_1 67675_0
121 53740_0 53740_1 35522_0
122 593_0 593_1 7881_0
123 76472_0 76472_1 13796_0
124 56737_0 56737_1 60467_0
125 26379_0 26379_1 99765_0
126 38968_0 38968_1 36325_0
127 169_1 167_0 94112_1
128 281_2 269_1 55808_0
129 81_0 86_0 89826_0
130 6938_0 6938_1 68449_0
131 403_0 414_0 44746_0
132 426_3 422_1 14653_0
133 59162_0 59162_1 76579_0
134 33689_0 33689_1 28903_0
135 61892_0 61892_1 50309_0
136 426_4 428_1 88595_0
137 5675_0 5675_1 7941_0
138 89529_0 89529_1 70835_0
139 73564_0 73564_1 72320_0
140 32368_0 32368_1 92288_0
141 63803_0 63803_1 90519_0
142 91523_0 91523_1 33480_0
143 17097_0 17097_1 93043_0
144 412_0 418_0 50721_0
145 56_2 37_1 53168_1
146 17882_0 17882_1 69204_0
147 25096_0 25096_1 93444_0
148 50732_0 50732_1 75650_0
149 89903_0 89903_1 12693_0
150 51712_0 51712_1 72206_0
151 35638_0 35638_1 87800_0
152 352_0 339_0 23364_0
153 1086_0 1086_1 28656_0
154 24609_0 24609_1 84107_0
155 8828_0 8828_1 64397_0
156 31435_0 31435_1 97692_0
157 52129_0 52129_1 69251_0
158 432_0 430_0 58688_0
159 76_0 83_0 96139_0
160 52183_0 52183_1 31979_0
161 52379_0 52379_1 58915_0
162 12364_0 12364_1 43965_0
163 72620_0 72620_1 20748_0
164 79081_0 79081_1 25283_0
165 414_1 422_2 86155_0
166 74153_0 74153_1 10818_0
167 12252_0 12252_1 61708_0
168 87326_0 87326_1 10721_0
169 158_0 171_0 55490_0
170 67256_0 67256_1 62200_0
171 12415_0 12415_1 85222_0
172 59493_0 59493_1 23068_0
173 36597_0 36597_1 63102_0
174 87966_0 87966_1 33998_0
